gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 15 360
YAL068W-A 10 100
PAU8 0 0
YAL067W-A 7 12
SEO1 36 575
YAL066W 17 264
YAL065C 5 32
YAL064W-B 5 16
TDA8 0 0
YAL064W 1 0
YAL063C-A 2 5
FLO9 57 1165
GDH3 135 2893
BDH2 56 1124
BDH1 40 903
YAL059C-A 22 325
ECM1 25 262
CNE1 54 1656
YAL056C-A 15 387
GPB2 58 1412
PEX22 18 333
ACS1 101 1813
FLC2 70 1094
OAF1 68 1259
AIM2 21 364
GEM1 50 794
YAL047W-A 25 309
SPC72 6 67
AIM1 7 209
YAL045C 7 49
YAL044W-A 5 6
GCV3 37 687
PTA1 6 23
YAL042C-A 26 400
ERV46 63 1290
CDC24 9 199
CLN3 16 237
CYC3 206 4641
CDC19 1 0
YAL037C-B 1 0
YAL037C-A 10 198
YAL037W 33 658
RBG1 44 685
FUN12 6 6
YAL034C-B 38 648
MTW1 16 84
FUN19 41 346
POP5 4 5
PRP45 29 653
YAL031W-A 21 188
GIP4 64 1114
SNC1 21 280
MYO4 144 1991
FRT2 39 438
SAW1 41 709
YAL026C-A 17 121
DRS2 39 578
MAK16 2 1
LTE1 19 170
PMT2 76 1994
FUN26 83 1722
CCR4 28 454
ATS1 57 1445
YAL019W-A 71 1777
FUN30 68 1037
LDS1 38 408
PSK1 113 1560
YAL016C-B 14 39
YAL016C-A 12 279
TPD3 5 15
NTG1 66 1170
SYN8 34 733
DEP1 49 325
CYS3 11 46
SWC3 51 393
MDM10 10 69
SPO7 37 304
FUN14 60 974
ERP2 50 1117
SSA1 54 846
YAL004W 8 93
EFB1 1 0
VPS8 264 7508
TFC3 24 132
NUP60 174 3781
ERP1 119 3013
SWD1 68 1274
RFA1 3 18
SEN34 5 33
BUD14 134 2098
ADE1 3 2
KIN3 60 666
CDC15 11 99
YAR019W-A 63 1336
PAU7 14 299
YAR023C 46 1238
UIP3 36 550
YAR028W 28 650
YAR029W 6 18
YAR030C 11 82
PRM9 34 425
MST28 42 473
YAT1 316 4944
YAR035C-A 13 149
SWH1 115 1991
YAR047C 5 20
FLO1 75 1170
YAR053W 3 7
YAR060C 0 0
YAR064W 22 161
YAR066W 0 0
YAR068W 1 0
YAR069C 0 0
YAR070C 3 9
PHO11 6 24
IMD1 9 95
YAR075W 4 38
YBL113C 6 41
YBL113W-A 0 0
YBL112C 0 0
YBL111C 0 0
YBL109W 19 196
PAU9 0 0
YBL108W 16 112
YBL107W-A 2 3
MIX23 12 191
SRO77 36 592
PKC1 2 1
SEA4 51 1472
RTG3 24 300
SFT2 10 19
ECM21 48 922
YBL100W-C 13 96
YBL100C 1 0
ATP1 6 22
BNA4 31 728
BRN1 5 38
YBL096C 16 203
YBL095W 12 240
YBL094C 3 5
ROX3 5 19
RPL32 1 0
SCS22 10 87
MAP2 29 903
MRP21 3 11
AVT5 28 269
TEL1 77 1508
RPL23A 16 258
YBL086C 7 17
BOI1 51 583
CDC27 3 3
YBL083C 4 14
ALG3 16 114
YBL081W 12 155
PET112 23 261
NUP170 28 379
ATG8 1 0
YBL077W 12 225
ILS1 0 0
SSA3 54 699
AAR2 33 489
YBL073W 18 618
RPS8A 1 0
YBL071C-B 5 6
KTI11 2 19
YBL071C 10 41
YBL070C 6 16
AST1 12 162
YBL068W-A 2 10
PRS4 10 118
UBP13 17 109
SEF1 34 578
YBL065W 13 44
PRX1 15 137
KIP1 57 1179
YBL062W 6 10
SKT5 25 329
YEL1 41 692
CMC2 7 11
YBL059W 13 217
SHP1 17 189
PTH2 21 279
PTC3 10 110
YBL055C 23 398
TOD6 32 431
YBL053W 3 10
SAS3 49 668
PIN4 17 145
SEC17 2 1
MOH1 9 52
RRT1 9 37
EDE1 48 633
PSY4 44 611
COR1 19 152
YBL044W 59 1437
ECM13 18 253
FUI1 42 448
PRE7 0 0
ERD2 1 0
YBL039W-B 3 3
URA7 33 642
YBL039C-A 1 0
MRPL16 23 132
APL3 38 477
YBL036C 15 316
POL12 8 86
STU1 18 114
RIB1 4 4
HEK2 15 77
SHE1 10 89
PET9 3 2
YBL029C-A 21 127
YBL029W 78 1508
YBL028C 10 315
RPL19B 12 106
LSM2 2 1
RRN10 0 0
NCL1 65 1038
MCM2 5 4
PIM1 69 882
HAP3 14 133
RFT1 3 76
APN2 69 1153
POP8 6 80
PEP1 83 1813
FUS3 52 1348
ACH1 60 1305
RRN6 10 151
FMT1 223 7159
YBL012C 26 524
SCT1 83 1574
YBL010C 42 855
ALK2 101 1856
YBL008W-A 28 155
HIR1 90 1034
SLA1 73 893
LDB7 33 338
YBL006W-A 13 123
PDR3 156 2640
UTP20 11 64
HTA2 41 469
HTB2 79 2275
ECM15 52 2523
NTH2 295 7199
RER2 18 502
COQ1 107 2442
GPI18 3 2
RCR1 81 2175
UGA2 157 4031
DSF2 258 5948
FLR1 132 2412
HHF1 8 21
HHT1 25 533
IPP1 16 108
YBR012C 18 175
YBR013C 35 544
GRX7 16 142
MNN2 63 920
YBR016W 25 325
KAP104 7 46
GAL7 2 1
GAL10 27 237
GAL1 2 8
FUR4 77 808
POA1 42 549
CHS3 31 288
SCO2 38 408
OLA1 25 220
ETR1 24 399
YBR027C 26 354
YPK3 48 741
CDS1 3 5
RKM3 26 202
RPL4A 5 48
YBR032W 36 356
EDS1 92 1422
HMT1 12 196
PDX3 11 103
CSG2 18 189
SCO1 21 354
CHS2 21 299
ATP3 1 0
FIG1 13 67
FAT1 11 111
CST26 19 287
QDR3 32 209
TCM62 23 278
GIP1 27 596
ZTA1 17 43
FMP23 15 246
RPS11B 5 16
REB1 0 0
REG2 31 331
YBR051W 10 21
RFS1 25 137
YBR053C 23 616
YRO2 22 136
PRP6 20 366
YBR056W 12 144
YBR056W-A 10 53
YBR056C-B 10 53
MUM2 17 220
UBP14 18 233
TSC3 2 1
AKL1 34 609
ORC2 4 3
TRM7 5 54
YBR062C 5 22
YBR063C 16 162
YBR064W 5 15
ECM2 40 189
NRG2 22 160
TIP1 4 10
BAP2 6 84
TAT1 10 89
ALG14 1 0
YBR071W 34 415
HSP26 7 73
YBR072C-A 17 309
RDH54 29 326
PFF1 42 922
ECM8 34 919
YBR076C-A 13 78
SLM4 23 221
ECM33 27 696
RPG1 10 40
SEC18 0 0
SPT7 18 238
UBC4 3 12
TEC1 23 93
MIS1 44 806
RPL19A 14 179
AAC3 11 50
YBR085C-A 1 0
IST2 21 233
RFC5 1 0
POL30 0 0
YBR089W 0 0
NHP6B 22 202
YBR090C 49 306
TIM12 0 0
PHO3 9 89
PHO5 18 138
PBY1 32 477
RXT2 10 103
YBR096W 6 48
VPS15 20 191
MMS4 22 500
YBR099C 7 108
FES1 11 87
EXO84 13 107
SIF2 9 90
YBR103C-A 16 115
YMC2 21 115
VID24 14 158
PHO88 9 196
IML3 3 8
AIM3 25 245
CMD1 0 0
YBR109W-A 22 505
ALG1 1 0
YSA1 16 65
SUS1 1 0
CYC8 8 25
YBR113W 13 66
RAD16 25 260
LYS2 8 75
YBR116C 18 235
TKL2 28 423
TEF2 1 0
MUD1 8 56
CBP6 3 3
GRS1 1 0
YBR121C-A 0 0
MRPL36 5 52
TFC1 1 0
YBR124W 21 342
PTC4 23 242
TPS1 9 200
YBR126W-A 11 56
YBR126W-B 10 32
VMA2 2 1
ATG14 7 65
OPY1 5 10
SHE3 6 21
CCZ1 4 8
YBR131C-A 0 0
AGP2 25 250
HSL7 36 411
YBR134W 19 339
CKS1 0 0
MEC1 17 80
YBR137W 11 35
YBR138C 16 210
YBR139W 12 98
IRA1 13 65
BMT2 25 313
YBR141W-A 1 0
MAK5 1 0
SUP45 1 0
YBR144C 20 458
ADH5 11 115
MRPS9 10 67
RTC2 9 216
YSW1 14 110
ARA1 12 194
TBS1 31 360
APD1 4 67
SPP381 12 193
RIB7 0 0
RPB5 0 0
CNS1 0 0
SLI15 2 8
ICS2 4 8
AMN1 19 147
IFA38 1 0
CDC28 1 0
CSH1 13 79
TOS1 14 154
YSY6 1 0
EXO5 25 117
ARL1 1 0
UBS1 7 58
TYR1 2 13
POP7 0 0
PEX32 12 138
SSE2 10 215
NPL4 5 114
SEC66 6 37
SMY2 15 118
UMP1 1 0
YBR174C 7 26
SWD3 5 9
ECM31 8 26
EHT1 8 8
YBR178W 19 278
FZO1 21 150
DTR1 12 63
