gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 8 161
YAL068W-A 7 176
PAU8 3 32
YAL067W-A 1 0
SEO1 12 277
YAL066W 9 151
YAL065C 3 3
YAL064W-B 2 56
TDA8 0 0
YAL064W 3 40
YAL063C-A 5 131
FLO9 40 843
GDH3 401 17663
BDH2 123 4190
BDH1 100 3522
YAL059C-A 36 664
ECM1 46 994
CNE1 121 3452
YAL056C-A 35 1286
GPB2 186 8954
PEX22 57 1168
ACS1 164 4132
FLC2 139 3274
OAF1 135 3263
AIM2 29 736
GEM1 79 1652
YAL047W-A 29 394
SPC72 14 237
AIM1 10 221
YAL045C 19 219
YAL044W-A 22 228
GCV3 42 1185
PTA1 24 311
YAL042C-A 41 1327
ERV46 102 2834
CDC24 11 81
CLN3 56 767
CYC3 341 13764
CDC19 5 39
YAL037C-B 5 39
YAL037C-A 9 222
YAL037W 37 587
RBG1 59 1341
FUN12 14 65
YAL034C-B 20 493
MTW1 10 102
FUN19 59 1113
POP5 2 1
PRP45 50 1228
YAL031W-A 17 273
GIP4 83 1644
SNC1 17 356
MYO4 121 2480
FRT2 45 859
SAW1 27 423
YAL026C-A 12 148
DRS2 14 139
MAK16 1 0
LTE1 14 72
PMT2 49 1099
FUN26 55 1237
CCR4 35 309
ATS1 47 1639
YAL019W-A 47 1305
FUN30 72 1979
LDS1 26 458
PSK1 92 1983
YAL016C-B 10 71
YAL016C-A 13 471
TPD3 14 34
NTG1 49 1410
SYN8 29 580
DEP1 94 1627
CYS3 29 172
SWC3 68 916
MDM10 40 220
SPO7 41 461
FUN14 44 882
ERP2 35 1111
SSA1 57 1588
YAL004W 17 557
EFB1 2 1
VPS8 137 1821
TFC3 4 51
NUP60 143 2928
ERP1 46 1102
SWD1 65 1491
RFA1 1 0
SEN34 6 32
BUD14 94 1649
ADE1 2 5
KIN3 39 340
CDC15 0 0
YAR019W-A 32 1113
PAU7 8 67
YAR023C 39 1830
UIP3 46 1209
YAR028W 48 1562
YAR029W 13 210
YAR030C 11 330
PRM9 37 1066
MST28 30 471
YAT1 235 5718
YAR035C-A 7 63
SWH1 52 1083
YAR047C 8 68
FLO1 27 524
YAR053W 3 20
YAR060C 0 0
YAR064W 10 95
YAR066W 0 0
YAR068W 0 0
YAR069C 0 0
YAR070C 1 0
PHO11 3 48
IMD1 2 12
YAR075W 4 52
YBL113C 3 8
YBL113W-A 1 0
YBL112C 0 0
YBL111C 0 0
YBL109W 10 149
PAU9 0 0
YBL108W 9 366
YBL107W-A 2 2
MIX23 9 113
SRO77 18 456
PKC1 7 134
SEA4 11 260
RTG3 11 107
SFT2 15 74
ECM21 47 1231
YBL100W-C 10 331
YBL100C 5 23
ATP1 12 93
BNA4 27 600
BRN1 3 4
YBL096C 11 193
YBL095W 16 370
YBL094C 5 127
ROX3 11 65
RPL32 0 0
SCS22 4 65
MAP2 21 426
MRP21 9 95
AVT5 19 196
TEL1 63 1612
RPL23A 15 91
YBL086C 23 177
BOI1 28 532
CDC27 1 0
YBL083C 7 38
ALG3 18 173
YBL081W 6 143
PET112 14 92
NUP170 22 229
ATG8 6 19
YBL077W 9 137
ILS1 1 0
SSA3 42 772
AAR2 25 354
YBL073W 21 326
RPS8A 8 15
YBL071C-B 3 3
KTI11 5 33
YBL071C 14 174
YBL070C 12 319
AST1 26 718
YBL068W-A 2 8
PRS4 19 292
UBP13 31 575
SEF1 68 1307
YBL065W 11 187
PRX1 17 448
KIP1 55 1485
YBL062W 3 85
SKT5 24 546
YEL1 47 1053
CMC2 11 78
YBL059W 23 378
SHP1 41 590
PTH2 29 1001
PTC3 50 907
YBL055C 49 1458
TOD6 51 1146
YBL053W 13 86
SAS3 64 929
PIN4 48 919
SEC17 1 0
MOH1 14 306
RRT1 9 79
EDE1 146 2348
PSY4 52 1272
COR1 65 1011
YBL044W 111 4248
ECM13 36 874
FUI1 78 1366
PRE7 2 1
ERD2 1 0
YBL039W-B 4 11
URA7 44 580
YBL039C-A 2 22
MRPL16 29 301
APL3 76 1584
YBL036C 32 832
POL12 19 126
STU1 33 591
RIB1 7 83
HEK2 33 453
SHE1 41 609
PET9 5 19
YBL029C-A 31 478
YBL029W 91 2405
YBL028C 27 750
RPL19B 20 63
LSM2 0 0
RRN10 7 28
NCL1 60 1416
MCM2 1 0
PIM1 69 990
HAP3 14 270
RFT1 9 49
APN2 58 707
POP8 11 119
PEP1 160 3151
FUS3 66 472
ACH1 145 5063
RRN6 21 229
FMT1 281 10197
YBL012C 29 726
SCT1 86 1969
YBL010C 28 430
ALK2 68 2099
YBL008W-A 20 148
HIR1 78 1278
SLA1 66 772
LDB7 50 601
YBL006W-A 12 172
PDR3 141 2792
UTP20 6 5
HTA2 28 595
HTB2 54 2019
ECM15 54 1276
NTH2 293 8129
RER2 42 1449
COQ1 169 5590
GPI18 12 22
RCR1 87 2571
UGA2 227 8390
DSF2 186 5328
FLR1 145 3609
HHF1 16 71
HHT1 29 252
IPP1 15 116
YBR012C 24 324
YBR013C 22 295
GRX7 30 410
MNN2 97 1375
YBR016W 32 631
KAP104 14 132
GAL7 32 564
GAL10 74 1466
GAL1 49 906
FUR4 39 681
POA1 16 290
CHS3 54 987
SCO2 23 274
OLA1 44 412
ETR1 36 498
YBR027C 19 151
YPK3 34 328
CDS1 7 38
RKM3 55 1022
RPL4A 10 71
YBR032W 47 996
EDS1 103 2286
HMT1 35 475
PDX3 25 217
CSG2 29 275
SCO1 54 756
CHS2 1 0
ATP3 3 6
FIG1 18 253
FAT1 33 443
CST26 22 270
QDR3 49 889
TCM62 56 1150
GIP1 40 584
ZTA1 39 614
FMP23 24 540
RPS11B 16 87
REB1 5 17
REG2 82 1686
YBR051W 26 340
RFS1 72 797
YBR053C 71 1214
YRO2 28 561
PRP6 10 88
YBR056W 38 914
YBR056W-A 6 35
YBR056C-B 4 23
MUM2 28 507
UBP14 40 514
TSC3 3 5
AKL1 45 608
ORC2 4 35
TRM7 8 56
YBR062C 12 157
YBR063C 20 248
YBR064W 5 16
ECM2 50 767
NRG2 32 357
TIP1 30 404
BAP2 117 2598
TAT1 18 52
ALG14 9 18
YBR071W 58 1388
HSP26 28 398
YBR072C-A 14 119
RDH54 52 1083
PFF1 47 885
ECM8 23 504
YBR076C-A 13 180
SLM4 24 110
ECM33 44 854
RPG1 3 5
SEC18 0 0
SPT7 26 289
UBC4 15 86
TEC1 27 398
MIS1 33 626
RPL19A 20 122
AAC3 18 219
YBR085C-A 18 204
IST2 76 1091
RFC5 0 0
POL30 1 0
YBR089W 0 0
NHP6B 34 590
YBR090C 60 728
TIM12 0 0
PHO3 26 547
PHO5 13 272
PBY1 19 161
RXT2 12 204
YBR096W 4 4
VPS15 16 154
MMS4 17 173
YBR099C 5 31
FES1 13 44
EXO84 15 178
SIF2 27 253
YBR103C-A 11 122
YMC2 34 801
VID24 37 941
PHO88 15 89
IML3 6 41
AIM3 45 695
CMD1 0 0
YBR109W-A 10 319
ALG1 0 0
YSA1 14 360
SUS1 6 32
CYC8 20 153
YBR113W 9 48
RAD16 29 507
LYS2 34 669
YBR116C 16 154
TKL2 34 542
TEF2 5 19
MUD1 19 449
CBP6 12 64
GRS1 0 0
YBR121C-A 0 0
MRPL36 7 21
TFC1 15 78
YBR124W 21 302
PTC4 24 372
TPS1 33 256
YBR126W-A 17 336
YBR126W-B 13 254
VMA2 5 103
ATG14 24 693
OPY1 15 195
SHE3 10 88
CCZ1 9 29
YBR131C-A 0 0
AGP2 29 679
HSL7 31 618
YBR134W 24 261
CKS1 1 0
MEC1 9 41
YBR137W 5 106
YBR138C 8 140
YBR139W 14 126
IRA1 31 495
BMT2 20 442
YBR141W-A 1 0
MAK5 2 1
SUP45 1 0
YBR144C 20 487
ADH5 22 519
MRPS9 14 126
RTC2 11 148
YSW1 22 184
ARA1 11 120
TBS1 35 648
APD1 14 274
SPP381 16 291
RIB7 5 8
RPB5 1 0
CNS1 1 0
SLI15 3 11
ICS2 9 155
AMN1 22 529
IFA38 3 2
CDC28 1 0
CSH1 16 86
TOS1 24 370
YSY6 4 16
EXO5 21 297
ARL1 6 29
UBS1 9 90
TYR1 17 167
POP7 0 0
PEX32 8 83
SSE2 15 162
NPL4 12 136
SEC66 11 196
SMY2 21 338
UMP1 5 14
YBR174C 10 150
SWD3 15 246
ECM31 21 349
EHT1 24 430
YBR178W 47 896
FZO1 45 410
DTR1 31 578
RPS6B 7 36
SMP1 16 269
YBR182C-A 6 46
YPC1 18 196
YBR184W 10 420
MBA1 9 54
PCH2 27 667
GDT1 13 140
NTC20 15 99
RPS9B 2 2
YBR190W 7 11
RPL21A 0 0
YBR191W-A 0 0
RIM2 6 14
MED8 0 0
AIM4 9 123
MSI1 19 232
PGI1 0 0
YBR196C-A 10 65
YBR196C-B 4 12
YBR197C 24 453
TAF5 1 0
KTR4 23 279
BEM1 22 171
YBR200W-A 2 8
DER1 16 172
YBR201C-A 4 97
MCM7 10 100
COS111 50 1346
LDH1 17 442
KTR3 19 522
YBR206W 9 104
FTH1 24 467
DUR1,2 55 769
YBR209W 29 608
ERV15 8 35
AME1 4 64
NGR1 26 753
MET8 28 660
SDS24 26 607
HPC2 22 235
YBP1 25 589
ATG12 5 31
PYC2 39 1117
YBR219C 37 678
YBR220C 33 576
PDB1 15 182
YBR221W-A 17 214
PCS60 85 1437
TDP1 46 1171
YBR223W-A 13 556
YBR224W 23 342
YBR225W 19 175
YBR226C 3 5
MCX1 16 156
SLX1 6 83
ROT2 22 350
OM14 8 66
YBR230W-A 15 283
SWC5 13 153
YBR232C 4 15
PBP2 16 144
DAD3 2 4
ARC40 0 0
VHC1 24 550
ABD1 2 4
PRP5 1 0
YBR238C 23 492
ERT1 18 221
THI2 24 593
YBR241C 45 1274
YBR242W 8 131
ALG7 0 0
GPX2 7 94
ISW1 24 365
RRT2 15 132
ENP1 0 0
HIS7 8 74
ARO4 1 0
SPO23 26 480
MRPS5 9 91
DUT1 1 0
SRB6 2 4
TRS20 0 0
MTC4 18 160
YBR255C-A 4 76
RIB5 3 21
POP4 0 0
SHG1 3 8
YBR259W 13 291
RGD1 20 273
TAE1 6 53
MIC12 7 179
SHM1 13 295
YPT10 8 83
TSC10 4 16
REI1 10 64
SLM6 5 21
MRPL37 2 2
SDH8 6 36
BIT2 24 245
EFM2 8 119
HSM3 7 93
UBX7 22 597
CHK1 10 189
RIF1 33 606
PPS1 16 334
YBR277C 11 224
DPB3 10 187
PAF1 9 98
SAF1 26 403
DUG2 29 595
MRPL27 7 18
SSH1 9 78
YBR284W 36 629
YBR285W 3 16
APE3 41 1075
YBR287W 27 715
APM3 29 308
SNF5 26 272
BSD2 16 220
CTP1 42 1485
YBR292C 14 127
VBA2 35 801
SUL1 36 1500
PCA1 31 897
PHO89 29 626
YBR296C-A 10 99
MAL33 17 189
MAL31 5 182
YBR298C-A 4 28
MAL32 1 0
YBR300C 0 0
PAU24 0 0
COS2 0 0
YCL076W 1 0
GEX1 4 95
VBA3 2 16
YCL068C 0 0
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 0 0
CHA1 1 0
VAC17 8 102
MRC1 16 162
KRR1 4 40
FYV5 5 16
ADF1 0 0
MIC10 10 146
PRD1 24 738
PEX34 5 72
KAR4 7 67
RDT1 0 0
SPB1 1 0
PBN1 7 52
LRE1 35 1357
APA1 16 505
YCL049C 35 581
YCL048W-A 5 10
SPS22 35 1091
POF1 16 561
EMC1 45 813
YCL046W 8 45
MGR1 68 1376
PDI1 0 0
YCL041C 48 915
YCL042W 46 1714
GLK1 149 4711
GID7 80 1480
ATG22 53 1007
SRO9 51 754
GFD2 88 2709
GRX1 11 101
LSB5 40 1076
MXR2 27 386
STE50 46 1588
RRP7 4 4
HIS4 59 754
BIK1 108 2179
RNQ1 26 577
FUS1 53 1566
HBN1 21 103
FRM2 43 1502
AGP1 108 2630
YCL023C 32 985
KCC4 111 1847
YCL022C 26 405
YCL021W-A 15 385
LEU2 0 0
NFS1 1 0
DCC1 43 578
BUD3 185 3791
YCL012C 28 244
GBP2 100 1873
SGF29 100 2728
ILV6 97 1969
STP22 127 2330
YCL007C 19 330
VMA9 3 4
LDB16 96 2120
PGS1 171 2399
YCL002C 92 1726
RER1 60 479
YCL001W-A 44 213
YCL001W-B 20 280
YCR001W 34 981
CDC10 12 34
MRPL32 75 1074
YCP4 57 976
CIT2 223 7539
YCR006C 331 11214
YCR007C 192 4123
SAT4 239 6240
RVS161 78 715
ADY2 121 3709
ADP1 251 6872
PGK1 2 15
YCR013C 6 59
POL4 70 1358
YCR015C 48 832
YCR016W 20 356
CWH43 108 2965
SRD1 16 272
YCR018C-A 10 276
MAK32 59 1328
PET18 35 746
MAK31 9 97
HTL1 2 2
HSP30 76 1867
YCR022C 158 4200
YCR023C 236 6553
SLM5 154 2010
YCR024C-B 25 272
PMP1 11 125
YCR025C 105 1843
NPP1 156 3442
RHB1 21 300
FEN2 3 43
RIM1 17 132
SYP1 53 1062
RPS14A 15 144
BPH1 52 609
SNT1 44 1160
ELO2 10 26
RRP43 1 0
RBK1 31 515
PHO87 42 849
BUD5 22 325
YCR038W-A 2 40
MATALPHA2 0 0
MATALPHA1 0 0
YCR041W 2 32
TAF2 13 177
YCR043C 10 333
PER1 14 50
RRT12 31 777
YCR045W-A 7 63
IMG1 14 127
BUD23 5 19
YCR047W-A 1 0
YCR049C 20 566
ARE1 57 1744
YCR050C 10 83
YCR051W 19 640
RSC6 10 49
THR4 17 173
CTR86 5 9
PWP2 4 33
YIH1 41 761
TAH1 11 147
YCR061W 155 4454
YCR064C 23 765
BUD31 1 0
HCM1 27 253
RAD18 19 106
SED4 40 582
ATG15 46 484
CPR4 16 286
IMG2 6 39
RSA4 0 0
SSK22 64 1447
SOL2 15 142
ERS1 11 173
YCR075W-A 3 9
FUB1 14 414
PAT1 13 50
PTC6 26 697
SRB8 33 288
YCR081C-A 5 56
AHC2 7 84
TRX3 5 59
TUP1 3 7
YCR085W 8 27
CSM1 7 129
YCR087W 2 6
YCR087C-A 2 6
ABP1 19 407
FIG2 24 345
YCR090C 6 74
KIN82 24 597
MSH3 14 249
CDC39 8 39
CDC50 1 0
OCA4 8 28
YCR095W-A 2 4
HMRA2 0 0
HMRA1 25 169
YCR097W-A 1 0
GIT1 16 187
YCR099C 0 0
YCR100C 3 11
YCR101C 4 117
YCR102C 12 246
YCR102W-A 3 11
PAU3 4 16
ADH7 16 384
RDS1 9 256
AAD3 5 55
YCR108C 5 48
COS7 2 16
YDL247W-A 0 0
MPH2 1 0
SOR2 1 0
HXT15 1 0
THI13 0 0
AAD4 5 42
YDL242W 10 214
YDL241W 2 23
YDL240C-A 6 147
LRG1 9 69
ADY3 4 16
GUD1 9 195
AIM6 9 41
PHO13 11 119
YPD1 1 0
GYP7 31 631
MFG1 19 294
OST4 0 0
BRE4 41 917
PTP1 16 273
SSB1 10 126
YDL228C 3 6
HO 27 370
GCS1 7 41
SHS1 13 128
WHI4 13 301
HBT1 18 457
FMP45 38 850
YDL221W 49 1436
CDC13 49 1094
DTD1 5 16
YDL218W 7 44
TIM22 0 0
RRI1 17 550
GDH2 50 1155
PRR2 58 1283
NOP6 19 399
SHR3 0 0
YDL211C 18 386
UGA4 48 841
CWC2 5 27
NHP2 4 8
GLE1 6 37
YDL206W 35 530
HEM3 3 5
RTN2 21 548
ACK1 23 313
MRPL11 13 139
TRM8 12 211
MGT1 8 113
YDL199C 13 173
GGC1 7 68
ASF2 25 274
YDL196W 18 321
SEC31 1 0
SNF3 25 234
NUS1 1 0
ARF1 13 111
RPL35A 0 0
UFD2 36 808
RBS1 15 151
PPH22 16 117
YDL187C 11 91
YDL186W 15 184
YDL185C-A 7 77
VMA1 4 3
RPL41A 1 0
YDL183C 36 705
LYS20 33 555
INH1 9 48
YDL180W 44 488
PCL9 19 292
DLD2 40 874
YDL177C 7 101
YDL176W 37 697
AIR2 21 356
DLD1 40 842
PAR32 21 371
YDL172C 6 64
GLT1 77 1759
UGA3 51 904
UGX2 14 230
SFA1 24 573
NRP1 23 179
FAP7 1 0
CDC36 3 6
CDC9 4 8
YDL163W 3 7
YDL162C 18 527
ENT1 14 196
MHF2 6 134
DHH1 16 84
YDL159W-A 12 116
STE7 25 492
YDL159C-B 0 0
YDL158C 6 66
YDL157C 6 14
CMR1 29 657
CLB3 11 257
MSH5 27 535
SAS10 2 4
YDL152W 9 48
BUD30 1 0
RPC53 2 12
ATG9 15 161
NOP14 9 78
RPN5 0 0
LDB17 12 126
COP1 2 2
YDL144C 19 336
CCT4 0 0
CRD1 13 461
BPL1 2 5
RPO21 4 7
SCM3 3 3
RGT2 78 1370
ARF2 37 610
RPL35B 22 189
RDI1 22 367
PPH21 24 324
RPL41B 4 7
SRF1 31 366
CDC53 8 31
LYS21 25 754
STF1 13 108
RPP1B 9 61
YDL129W 35 733
VCX1 28 583
PCL2 33 527
CDC48 8 30
HNT1 27 553
YDL124W 37 947
SNA4 16 233
UBP1 36 367
YDL121C 6 177
YFH1 1 0
YDL119C 9 104
YDL118W 5 126
CYK3 22 117
NUP84 7 17
IWR1 10 96
YDL114W-A 0 0
YDL114W 13 55
ATG20 28 458
TRM3 32 618
RRP42 0 0
TMA17 19 212
YDL109C 25 469
KIN28 1 0
MSS2 26 403
PHO2 16 152
NSE4 1 0
QRI7 9 125
QRI1 2 1
POL3 6 212
DUN1 16 171
GET3 14 130
BUG1 15 330
SNU23 0 0
RPN6 0 0
OPI6 8 93
PMT1 32 486
YDL094C 8 153
PMT5 32 623
SRP14 5 138
UBX3 22 646
RAM1 4 14
NUR1 16 195
ASM4 23 162
LUC7 10 60
YDL086W 28 633
YDL086C-A 20 376
YDL085C-A 6 28
NDE2 34 654
SUB2 0 0
RPS16B 15 47
RPL13A 18 115
RPP1A 5 12
THI3 46 747
MRK1 65 1250
MDH3 53 690
VAM6 34 202
RXT3 30 206
RPL31A 0 0
BRE1 31 159
YDL073W 54 844
YET3 17 292
YDL071C 52 574
BDF2 44 438
CBS1 19 190
YDL068W 12 138
COX9 4 3
IDP1 30 684
PEX19 18 307
UBC9 0 0
SYO1 21 246
YDL062W 7 42
RPS29B 7 17
TSR1 1 0
RAD59 16 98
USO1 13 119
YDL057W 17 271
MBP1 28 389
PSA1 1 0
MCH1 93 2783
PBP4 25 224
SLC1 56 1007
LHP1 75 1177
YDL050C 29 377
KNH1 107 2523
STP4 173 3943
SIT4 11 88
NPC2 28 360
MRP10 11 83
FAD1 3 9
MTF2 30 474
PRP11 0 0
SIR2 46 575
YDL041W 15 280
NAT1 30 295
PRM7 39 438
