gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 18 447
YAL068W-A 12 152
PAU8 0 0
YAL067W-A 6 49
SEO1 44 1407
YAL066W 11 301
YAL065C 7 169
YAL064W-B 3 11
TDA8 7 112
YAL064W 12 186
YAL063C-A 9 80
FLO9 47 1069
GDH3 167 10044
BDH2 93 5922
BDH1 54 2579
YAL059C-A 17 403
ECM1 26 817
CNE1 72 4993
YAL056C-A 21 1265
GPB2 133 4720
PEX22 27 966
ACS1 119 5137
FLC2 70 3317
OAF1 89 2493
AIM2 33 918
GEM1 101 4707
YAL047W-A 20 422
SPC72 7 60
AIM1 7 211
YAL045C 13 228
YAL044W-A 15 265
GCV3 42 1031
PTA1 20 952
YAL042C-A 34 1075
ERV46 111 5145
CDC24 8 31
CLN3 32 543
CYC3 174 7554
CDC19 3 3
YAL037C-B 3 3
YAL037C-A 10 198
YAL037W 49 1515
RBG1 68 3557
FUN12 13 176
YAL034C-B 45 1651
MTW1 23 399
FUN19 61 1844
POP5 5 18
PRP45 56 2725
YAL031W-A 28 1218
GIP4 106 4403
SNC1 29 755
MYO4 200 7440
FRT2 89 3396
SAW1 71 2298
YAL026C-A 36 558
DRS2 84 1594
MAK16 5 72
LTE1 16 152
PMT2 100 4351
FUN26 103 4342
CCR4 59 2009
ATS1 112 7122
YAL019W-A 77 5160
FUN30 119 3535
LDS1 74 1985
PSK1 136 7203
YAL016C-B 12 89
YAL016C-A 18 1183
TPD3 6 12
NTG1 110 4450
SYN8 75 4073
DEP1 87 1700
CYS3 20 457
SWC3 146 4921
MDM10 139 3624
SPO7 69 2050
FUN14 63 2071
ERP2 75 3725
SSA1 89 2336
YAL004W 15 273
EFB1 0 0
VPS8 438 26828
TFC3 17 496
NUP60 361 16818
ERP1 219 12876
SWD1 173 9391
RFA1 6 30
SEN34 7 104
BUD14 162 5938
ADE1 0 0
KIN3 108 2993
CDC15 19 491
YAR019W-A 86 5030
PAU7 18 971
YAR023C 76 6633
UIP3 35 1838
YAR028W 36 1434
YAR029W 11 95
YAR030C 14 741
PRM9 33 1746
MST28 38 1031
YAT1 408 19841
YAR035C-A 25 189
SWH1 144 6255
YAR047C 12 390
FLO1 69 2744
YAR053W 9 150
YAR060C 0 0
YAR064W 20 330
YAR066W 0 0
YAR068W 4 126
YAR069C 0 0
YAR070C 3 12
PHO11 3 61
IMD1 8 256
YAR075W 5 50
YBL113C 15 107
YBL113W-A 2 1
YBL112C 0 0
YBL111C 0 0
YBL109W 33 1783
PAU9 0 0
YBL108W 20 351
YBL107W-A 0 0
MIX23 22 528
SRO77 62 1705
PKC1 9 67
SEA4 70 2509
RTG3 24 295
SFT2 16 43
ECM21 70 2569
YBL100W-C 11 332
YBL100C 3 6
ATP1 1 0
BNA4 22 851
BRN1 6 7
YBL096C 12 242
YBL095W 15 405
YBL094C 5 39
ROX3 8 346
RPL32 1 0
SCS22 13 489
MAP2 35 1041
MRP21 6 22
AVT5 52 717
TEL1 101 3493
RPL23A 35 542
YBL086C 21 233
BOI1 83 2304
CDC27 6 76
YBL083C 9 125
ALG3 21 498
YBL081W 17 150
PET112 22 891
NUP170 40 1297
ATG8 5 11
YBL077W 15 364
ILS1 0 0
SSA3 69 1995
AAR2 38 1519
YBL073W 14 430
RPS8A 6 33
YBL071C-B 8 19
KTI11 5 93
YBL071C 10 58
YBL070C 13 264
AST1 22 288
YBL068W-A 3 2
PRS4 17 730
UBP13 31 535
SEF1 46 1186
YBL065W 22 370
PRX1 23 808
KIP1 86 3595
YBL062W 4 55
SKT5 37 779
YEL1 53 1431
CMC2 4 9
YBL059W 13 160
SHP1 13 425
PTH2 31 1199
PTC3 20 831
YBL055C 35 1456
TOD6 53 2453
YBL053W 11 154
SAS3 93 2650
PIN4 28 665
SEC17 0 0
MOH1 13 67
RRT1 10 46
EDE1 87 2002
PSY4 58 2876
COR1 19 172
YBL044W 74 3986
ECM13 33 1175
FUI1 84 1834
PRE7 0 0
ERD2 5 65
YBL039W-B 3 8
URA7 62 2091
YBL039C-A 5 17
MRPL16 16 184
APL3 83 2501
YBL036C 22 707
POL12 12 309
STU1 21 143
RIB1 3 5
HEK2 34 1069
SHE1 23 345
PET9 1 0
YBL029C-A 20 308
YBL029W 109 3644
YBL028C 14 930
RPL19B 27 418
LSM2 2 1
RRN10 5 161
NCL1 66 2385
MCM2 6 16
PIM1 58 762
HAP3 23 346
RFT1 8 86
APN2 108 3623
POP8 11 363
PEP1 147 4354
FUS3 93 2646
ACH1 78 2593
RRN6 20 869
