gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 19 273
YAL068W-A 11 115
PAU8 3 36
YAL067W-A 12 78
SEO1 56 1087
YAL066W 21 395
YAL065C 9 71
YAL064W-B 3 10
TDA8 5 22
YAL064W 6 24
YAL063C-A 9 73
FLO9 68 1295
GDH3 198 5126
BDH2 103 1889
BDH1 73 1364
YAL059C-A 24 308
ECM1 29 289
CNE1 72 945
YAL056C-A 21 191
GPB2 150 3011
PEX22 31 494
ACS1 166 2529
FLC2 103 1596
OAF1 125 1959
AIM2 40 696
GEM1 110 1323
YAL047W-A 24 398
SPC72 8 208
AIM1 14 198
YAL045C 17 180
YAL044W-A 19 264
GCV3 41 941
PTA1 16 150
YAL042C-A 42 1464
ERV46 137 4228
CDC24 12 76
CLN3 28 236
CYC3 263 7724
CDC19 2 1
YAL037C-B 1 0
YAL037C-A 16 311
YAL037W 70 1100
RBG1 67 1131
FUN12 6 45
YAL034C-B 55 1347
MTW1 24 207
FUN19 78 1420
POP5 6 7
PRP45 82 1465
YAL031W-A 19 534
GIP4 118 2153
SNC1 52 842
MYO4 252 4060
FRT2 107 1679
SAW1 77 1162
YAL026C-A 31 245
DRS2 60 376
MAK16 8 22
LTE1 35 249
PMT2 99 1559
FUN26 135 2296
CCR4 70 716
ATS1 111 2479
YAL019W-A 99 2933
FUN30 136 2373
LDS1 70 701
PSK1 177 2963
YAL016C-B 22 124
YAL016C-A 25 1068
TPD3 3 10
NTG1 112 2727
SYN8 61 1227
DEP1 110 1161
CYS3 1 0
SWC3 121 1500
MDM10 12 25
SPO7 65 390
FUN14 106 2599
ERP2 96 1865
SSA1 99 1437
YAL004W 17 215
EFB1 1 0
VPS8 315 7924
TFC3 15 101
NUP60 315 6169
ERP1 187 5047
SWD1 101 1289
RFA1 8 41
SEN34 7 80
BUD14 192 2957
ADE1 3 3
KIN3 116 1518
CDC15 13 128
YAR019W-A 87 1996
PAU7 20 446
YAR023C 78 2224
UIP3 38 645
YAR028W 42 1272
YAR029W 8 28
YAR030C 14 141
PRM9 38 860
MST28 43 707
YAT1 453 9888
YAR035C-A 20 122
SWH1 154 2999
YAR047C 4 49
FLO1 99 1715
YAR053W 12 40
YAR060C 0 0
YAR064W 25 234
YAR066W 0 0
YAR068W 2 34
YAR069C 0 0
YAR070C 4 10
PHO11 7 84
IMD1 8 76
YAR075W 8 87
YBL113C 10 35
YBL113W-A 0 0
YBL112C 0 0
YBL111C 2 1
YBL109W 26 373
PAU9 0 0
YBL108W 29 408
YBL107W-A 1 0
MIX23 24 162
SRO77 69 1246
PKC1 5 33
SEA4 67 2118
RTG3 29 213
SFT2 30 122
ECM21 71 1102
YBL100W-C 12 224
YBL100C 1 0
ATP1 0 0
BNA4 48 892
BRN1 7 49
YBL096C 13 131
YBL095W 18 448
YBL094C 7 29
ROX3 9 156
RPL32 0 0
SCS22 27 298
MAP2 44 1056
MRP21 7 46
AVT5 68 661
TEL1 157 1941
RPL23A 35 214
YBL086C 33 195
BOI1 98 1185
CDC27 6 23
YBL083C 12 37
ALG3 37 364
YBL081W 23 261
PET112 33 573
NUP170 50 748
ATG8 5 23
YBL077W 14 335
ILS1 1 0
SSA3 95 1642
AAR2 41 587
YBL073W 26 388
RPS8A 6 15
YBL071C-B 16 48
KTI11 3 6
YBL071C 17 125
YBL070C 17 213
AST1 42 465
YBL068W-A 6 44
PRS4 12 47
UBP13 41 491
SEF1 70 768
YBL065W 24 609
PRX1 28 261
KIP1 97 2296
YBL062W 7 80
SKT5 51 655
YEL1 62 1185
CMC2 13 109
YBL059W 26 326
SHP1 24 265
PTH2 41 833
PTC3 41 404
YBL055C 47 733
TOD6 61 1044
YBL053W 15 117
SAS3 133 1565
PIN4 58 829
SEC17 0 0
MOH1 12 101
RRT1 7 26
EDE1 75 1376
PSY4 63 1096
COR1 33 265
YBL044W 78 2104
ECM13 25 206
FUI1 103 1763
PRE7 0 0
ERD2 6 26
YBL039W-B 11 78
URA7 71 1211
YBL039C-A 0 0
MRPL16 27 289
APL3 104 1586
YBL036C 31 500
POL12 11 65
STU1 45 649
RIB1 5 20
HEK2 49 871
SHE1 54 539
PET9 1 0
YBL029C-A 30 387
YBL029W 140 3379
YBL028C 33 797
RPL19B 17 58
LSM2 2 1
RRN10 2 1
NCL1 88 1244
MCM2 8 33
PIM1 110 1126
HAP3 26 269
RFT1 10 46
APN2 133 2537
POP8 16 127
PEP1 155 2554
FUS3 129 3024
ACH1 99 1553
RRN6 31 347
FMT1 362 13387
YBL012C 75 1204
SCT1 199 3765
YBL010C 70 1139
ALK2 182 4147
YBL008W-A 54 533
HIR1 154 2084
SLA1 61 700
LDB7 75 1006
YBL006W-A 36 516
PDR3 255 4357
UTP20 8 24
HTA2 86 834
HTB2 131 3881
ECM15 102 3987
NTH2 436 10558
RER2 35 1152
COQ1 237 5357
GPI18 3 6
RCR1 157 4434
UGA2 222 5577
DSF2 420 13953
FLR1 199 3828
HHF1 14 80
HHT1 49 698
IPP1 11 84
YBR012C 39 231
YBR013C 48 716
GRX7 38 495
MNN2 108 1895
YBR016W 57 745
KAP104 13 100
GAL7 1 0
GAL10 23 256
GAL1 8 35
FUR4 123 1166
POA1 47 790
CHS3 75 575
SCO2 71 893
OLA1 38 237
ETR1 41 398
YBR027C 38 359
YPK3 97 1079
CDS1 5 6
RKM3 47 582
RPL4A 9 56
YBR032W 57 1070
EDS1 237 4216
HMT1 32 387
PDX3 8 51
CSG2 3 4
SCO1 40 597
CHS2 48 666
ATP3 5 15
FIG1 25 304
FAT1 66 763
CST26 65 844
QDR3 72 739
TCM62 63 907
GIP1 63 676
ZTA1 39 336
FMP23 38 522
RPS11B 14 97
REB1 1 0
REG2 51 488
YBR051W 18 113
RFS1 43 285
YBR053C 40 549
YRO2 28 288
PRP6 25 433
YBR056W 47 616
YBR056W-A 12 86
YBR056C-B 10 41
MUM2 26 381
UBP14 22 294
TSC3 4 13
AKL1 62 823
ORC2 8 21
TRM7 15 238
YBR062C 22 277
YBR063C 28 289
YBR064W 12 34
ECM2 59 468
NRG2 27 369
TIP1 22 116
BAP2 17 149
TAT1 9 34
ALG14 0 0
YBR071W 56 833
HSP26 21 252
YBR072C-A 28 435
RDH54 63 834
PFF1 72 982
ECM8 70 1144
YBR076C-A 24 438
SLM4 52 401
ECM33 66 1477
RPG1 10 56
SEC18 3 2
SPT7 41 314
UBC4 8 58
TEC1 50 319
MIS1 88 1706
RPL19A 16 116
AAC3 23 247
YBR085C-A 6 171
IST2 71 736
RFC5 0 0
POL30 1 0
YBR089W 0 0
NHP6B 42 431
YBR090C 93 769
TIM12 0 0
PHO3 32 249
PHO5 21 289
PBY1 55 561
RXT2 18 166
YBR096W 15 77
VPS15 19 69
MMS4 52 698
YBR099C 18 217
FES1 10 22
EXO84 20 255
SIF2 18 141
YBR103C-A 23 286
YMC2 44 651
VID24 34 461
PHO88 12 118
IML3 13 50
AIM3 62 800
CMD1 1 0
YBR109W-A 17 219
ALG1 2 6
YSA1 24 204
SUS1 4 6
CYC8 18 140
YBR113W 14 99
RAD16 39 374
LYS2 13 37
YBR116C 42 548
TKL2 55 968
TEF2 0 0
MUD1 24 219
CBP6 6 17
GRS1 0 0
YBR121C-A 0 0
MRPL36 5 58
TFC1 8 54
YBR124W 20 317
PTC4 25 159
TPS1 7 50
YBR126W-A 32 660
YBR126W-B 18 235
VMA2 6 16
ATG14 26 346
OPY1 12 141
SHE3 8 30
CCZ1 10 15
YBR131C-A 0 0
AGP2 29 460
HSL7 71 955
YBR134W 30 491
CKS1 2 1
MEC1 6 21
YBR137W 20 159
YBR138C 37 279
YBR139W 26 310
IRA1 25 369
BMT2 28 385
YBR141W-A 3 5
MAK5 2 3
SUP45 0 0
YBR144C 40 896
ADH5 23 296
MRPS9 7 55
RTC2 21 344
YSW1 35 410
ARA1 15 74
TBS1 40 400
APD1 23 280
SPP381 21 208
RIB7 1 0
RPB5 0 0
CNS1 1 0
SLI15 7 54
ICS2 21 371
AMN1 38 362
IFA38 2 2
CDC28 0 0
CSH1 26 170
TOS1 43 577
YSY6 2 3
EXO5 26 173
ARL1 6 22
UBS1 7 40
TYR1 1 0
POP7 0 0
PEX32 23 270
SSE2 31 321
NPL4 11 203
SEC66 5 10
SMY2 21 186
UMP1 1 0
YBR174C 16 314
SWD3 10 135
ECM31 18 146
EHT1 27 495
YBR178W 39 613
FZO1 19 81
DTR1 41 352
RPS6B 3 5
SMP1 50 451
YBR182C-A 4 14
YPC1 22 167
YBR184W 38 510
MBA1 12 105
PCH2 79 1013
GDT1 18 224
NTC20 17 122
RPS9B 5 7
YBR190W 17 161
RPL21A 1 0
YBR191W-A 2 1
RIM2 3 2
MED8 4 17
AIM4 13 60
MSI1 21 157
PGI1 0 0
YBR196C-A 29 310
YBR196C-B 20 304
YBR197C 84 1638
TAF5 0 0
KTR4 17 132
BEM1 12 35
YBR200W-A 2 3
DER1 11 76
YBR201C-A 3 9
MCM7 13 145
COS111 33 368
LDH1 31 558
KTR3 46 456
YBR206W 18 109
FTH1 38 284
DUR1,2 97 1266
YBR209W 50 507
ERV15 7 42
AME1 3 11
NGR1 23 247
MET8 52 892
SDS24 24 301
HPC2 14 164
YBP1 24 347
ATG12 7 44
PYC2 55 854
YBR219C 69 688
YBR220C 53 542
PDB1 13 160
YBR221W-A 27 407
PCS60 100 1381
TDP1 92 1302
YBR223W-A 16 247
YBR224W 29 482
YBR225W 41 315
YBR226C 9 28
MCX1 30 207
SLX1 24 332
ROT2 27 296
OM14 18 132
YBR230W-A 8 49
SWC5 22 169
YBR232C 18 133
PBP2 47 513
DAD3 0 0
ARC40 0 0
VHC1 61 767
ABD1 2 1
PRP5 1 0
YBR238C 36 307
ERT1 104 1883
THI2 36 569
YBR241C 62 931
YBR242W 11 196
ALG7 0 0
GPX2 16 185
ISW1 48 711
RRT2 13 192
ENP1 0 0
HIS7 34 254
ARO4 19 116
SPO23 45 486
MRPS5 8 56
DUT1 1 0
SRB6 4 51
TRS20 0 0
MTC4 28 344
YBR255C-A 13 45
RIB5 4 5
POP4 0 0
SHG1 8 34
YBR259W 39 496
RGD1 22 214
TAE1 16 164
MIC12 5 37
SHM1 34 345
YPT10 15 163
TSC10 5 17
REI1 15 72
SLM6 5 12
MRPL37 1 0
SDH8 9 45
BIT2 39 352
EFM2 14 214
HSM3 23 334
UBX7 37 280
CHK1 12 176
RIF1 36 307
PPS1 36 704
YBR277C 25 210
DPB3 19 168
PAF1 11 154
SAF1 30 317
DUG2 37 266
MRPL27 6 19
SSH1 16 183
YBR284W 90 1323
YBR285W 2 1
APE3 31 425
YBR287W 29 263
APM3 26 373
SNF5 27 173
BSD2 19 158
CTP1 72 1137
YBR292C 26 145
VBA2 25 164
SUL1 43 714
PCA1 77 925
PHO89 44 601
