gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 16 183
YAL068W-A 10 49
PAU8 3 24
YAL067W-A 8 50
SEO1 61 926
YAL066W 27 362
YAL065C 9 86
YAL064W-B 9 48
TDA8 6 38
YAL064W 7 22
YAL063C-A 3 3
FLO9 56 908
GDH3 191 4859
BDH2 78 1421
BDH1 72 1693
YAL059C-A 26 214
ECM1 31 296
CNE1 81 1494
YAL056C-A 22 445
GPB2 209 4621
PEX22 40 560
ACS1 123 1847
FLC2 100 1458
OAF1 105 1514
AIM2 28 295
GEM1 106 2013
YAL047W-A 29 311
SPC72 6 34
AIM1 11 164
YAL045C 14 204
YAL044W-A 16 333
GCV3 42 732
PTA1 19 267
YAL042C-A 33 867
ERV46 128 2486
CDC24 10 72
CLN3 23 243
CYC3 51 691
CDC19 1 0
YAL037C-B 1 0
YAL037C-A 17 309
YAL037W 51 768
RBG1 65 1265
FUN12 14 198
YAL034C-B 45 1119
MTW1 20 144
FUN19 76 1268
POP5 4 4
PRP45 66 1608
YAL031W-A 20 282
GIP4 113 1866
SNC1 32 727
MYO4 206 2764
FRT2 81 1455
SAW1 57 978
YAL026C-A 30 266
DRS2 60 583
MAK16 6 9
LTE1 17 152
PMT2 78 1246
FUN26 95 1539
CCR4 81 1396
ATS1 78 1660
YAL019W-A 80 2438
FUN30 105 1157
LDS1 57 834
PSK1 161 2390
YAL016C-B 12 127
YAL016C-A 20 611
TPD3 5 6
NTG1 110 2198
SYN8 84 1269
DEP1 94 1087
CYS3 14 117
SWC3 175 3506
MDM10 120 1523
SPO7 51 450
FUN14 75 2140
ERP2 83 2116
SSA1 82 1152
YAL004W 15 155
EFB1 0 0
VPS8 528 19310
TFC3 21 304
NUP60 402 11176
ERP1 193 5095
SWD1 131 2796
RFA1 8 72
SEN34 6 54
BUD14 196 3665
ADE1 2 2
KIN3 88 1110
CDC15 8 76
YAR019W-A 72 1932
PAU7 20 370
YAR023C 79 2581
UIP3 56 1372
YAR028W 29 566
YAR029W 7 38
YAR030C 17 175
PRM9 24 524
MST28 30 670
YAT1 412 7463
YAR035C-A 17 64
SWH1 175 3421
YAR047C 6 44
FLO1 105 2024
YAR053W 9 57
YAR060C 0 0
YAR064W 20 177
YAR066W 1 0
YAR068W 1 0
YAR069C 0 0
YAR070C 5 63
PHO11 2 3
IMD1 9 124
YAR075W 8 115
YBL113C 12 166
YBL113W-A 0 0
YBL112C 0 0
YBL111C 1 0
YBL109W 31 430
PAU9 0 0
YBL108W 16 347
YBL107W-A 3 11
MIX23 16 209
SRO77 70 862
PKC1 8 169
SEA4 105 2595
RTG3 27 378
SFT2 20 49
ECM21 76 1232
YBL100W-C 26 189
YBL100C 0 0
ATP1 0 0
BNA4 40 368
BRN1 7 145
YBL096C 17 155
YBL095W 25 312
YBL094C 8 63
ROX3 10 34
RPL32 0 0
SCS22 29 229
MAP2 42 451
MRP21 1 0
AVT5 46 417
TEL1 127 1983
RPL23A 33 396
YBL086C 20 92
BOI1 108 1537
CDC27 6 74
YBL083C 7 40
ALG3 26 297
YBL081W 19 332
PET112 0 0
NUP170 58 969
ATG8 4 5
YBL077W 17 686
ILS1 0 0
SSA3 97 1251
AAR2 58 1060
YBL073W 25 515
RPS8A 4 11
YBL071C-B 11 85
KTI11 3 4
YBL071C 11 134
YBL070C 12 186
AST1 26 359
YBL068W-A 2 7
PRS4 20 262
UBP13 37 267
SEF1 76 1559
YBL065W 27 431
PRX1 14 131
KIP1 113 1965
YBL062W 6 59
SKT5 45 598
