gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 11 204
YAL068W-A 3 15
PAU8 2 1
YAL067W-A 4 10
SEO1 37 1124
YAL066W 11 290
YAL065C 6 267
YAL064W-B 4 6
TDA8 4 42
YAL064W 6 32
YAL063C-A 9 329
FLO9 49 1867
GDH3 111 3468
BDH2 73 3456
BDH1 43 893
YAL059C-A 11 440
ECM1 17 514
CNE1 51 1473
YAL056C-A 19 449
GPB2 98 3354
PEX22 18 262
ACS1 103 3316
FLC2 54 1442
OAF1 81 2323
AIM2 25 558
GEM1 70 1519
YAL047W-A 29 308
SPC72 5 61
AIM1 5 75
YAL045C 11 260
YAL044W-A 18 437
GCV3 31 1483
PTA1 13 294
YAL042C-A 27 1116
ERV46 75 3156
CDC24 6 31
CLN3 26 603
CYC3 185 6579
CDC19 1 0
YAL037C-B 1 0
YAL037C-A 9 328
YAL037W 39 1028
RBG1 59 1310
FUN12 6 6
YAL034C-B 27 2005
MTW1 16 192
FUN19 45 1457
POP5 2 1
PRP45 67 2302
YAL031W-A 16 443
GIP4 72 1935
SNC1 22 443
MYO4 169 5140
FRT2 65 1924
SAW1 43 1131
YAL026C-A 28 258
DRS2 34 344
MAK16 3 4
LTE1 23 216
PMT2 73 2578
FUN26 80 2348
CCR4 33 647
ATS1 64 2075
YAL019W-A 56 3751
FUN30 79 2101
LDS1 49 1169
PSK1 115 3871
YAL016C-B 15 54
YAL016C-A 22 925
TPD3 2 33
NTG1 79 3544
SYN8 53 1629
DEP1 54 834
CYS3 0 0
SWC3 93 1398
MDM10 6 28
SPO7 45 300
FUN14 55 2693
ERP2 62 2483
SSA1 75 2142
YAL004W 7 69
EFB1 2 1
VPS8 452 20140
TFC3 10 300
NUP60 281 11157
ERP1 159 7527
SWD1 111 4258
RFA1 5 69
SEN34 9 158
BUD14 137 2895
ADE1 5 13
KIN3 74 1664
CDC15 3 41
YAR019W-A 59 2644
PAU7 19 502
YAR023C 64 3923
UIP3 25 665
YAR028W 22 616
YAR029W 11 153
YAR030C 7 185
PRM9 31 886
MST28 31 402
YAT1 319 11052
YAR035C-A 13 111
SWH1 124 4275
YAR047C 5 31
FLO1 64 2236
YAR053W 4 35
YAR060C 0 0
YAR064W 17 105
YAR066W 1 0
YAR068W 3 14
YAR069C 0 0
YAR070C 7 39
PHO11 1 0
IMD1 15 370
YAR075W 4 111
YBL113C 10 224
YBL113W-A 2 1
YBL112C 0 0
YBL111C 0 0
YBL109W 13 472
PAU9 0 0
YBL108W 9 398
YBL107W-A 0 0
MIX23 15 154
SRO77 52 1074
PKC1 1 0
SEA4 46 2138
RTG3 11 172
SFT2 13 41
ECM21 53 1364
YBL100W-C 15 171
YBL100C 0 0
ATP1 1 0
BNA4 24 615
BRN1 4 4
YBL096C 17 499
YBL095W 18 281
YBL094C 9 75
ROX3 6 65
RPL32 0 0
SCS22 13 153
MAP2 16 299
MRP21 4 3
AVT5 32 944
TEL1 89 2330
RPL23A 20 274
YBL086C 18 213
BOI1 58 1738
CDC27 6 49
YBL083C 3 74
ALG3 21 510
YBL081W 11 197
PET112 11 46
NUP170 18 445
ATG8 1 0
YBL077W 13 360
ILS1 0 0
SSA3 52 1112
AAR2 25 601
YBL073W 18 458
RPS8A 2 1
YBL071C-B 8 12
KTI11 2 1
YBL071C 7 30
YBL070C 6 56
AST1 18 429
YBL068W-A 0 0
PRS4 13 161
UBP13 29 525
SEF1 39 1175
YBL065W 29 779
PRX1 18 455
KIP1 68 2174
YBL062W 3 15
SKT5 20 253
YEL1 41 1061
CMC2 2 1
YBL059W 15 300
SHP1 11 93
PTH2 16 656
PTC3 17 490
YBL055C 25 995
TOD6 45 1567
YBL053W 9 136
SAS3 86 1537
PIN4 22 295
SEC17 0 0
MOH1 6 19
RRT1 4 4
EDE1 72 2024
PSY4 36 1376
COR1 14 126
YBL044W 51 3543
ECM13 17 229
FUI1 45 1450
PRE7 0 0
ERD2 3 7
YBL039W-B 5 97
URA7 51 1718
YBL039C-A 1 0
MRPL16 12 165
APL3 54 1137
YBL036C 14 400
POL12 4 28
STU1 28 1126
RIB1 3 8
HEK2 16 239
SHE1 17 203
PET9 1 0
YBL029C-A 14 141
YBL029W 76 2859
YBL028C 17 586
RPL19B 5 6
LSM2 2 1
RRN10 1 0
NCL1 63 2694
MCM2 4 45
PIM1 74 1252
HAP3 14 105
RFT1 3 68
APN2 81 2806
POP8 6 64
PEP1 129 4252
FUS3 60 933
ACH1 89 4391
RRN6 19 294
FMT1 254 14785
YBL012C 43 1893
SCT1 132 5551
YBL010C 55 1631
ALK2 133 4892
YBL008W-A 34 347
HIR1 120 1717
SLA1 87 1412
LDB7 53 1394
YBL006W-A 24 602
PDR3 203 7055
UTP20 8 71
HTA2 57 907
HTB2 81 5248
ECM15 79 6134
NTH2 356 16893
RER2 26 1275
COQ1 183 7141
GPI18 1 0
RCR1 122 7571
UGA2 173 9584
DSF2 331 17315
FLR1 143 5670
HHF1 9 48
HHT1 33 504
IPP1 13 239
