gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 48 465
YAL068W-A 18 182
PAU8 9 35
YAL067W-A 16 71
SEO1 73 539
YAL066W 36 240
YAL065C 18 145
YAL064W-B 12 53
TDA8 26 135
YAL064W 15 61
YAL063C-A 23 171
FLO9 99 811
GDH3 301 3840
BDH2 201 2357
BDH1 142 1354
YAL059C-A 32 178
ECM1 43 348
CNE1 116 1028
YAL056C-A 23 180
GPB2 147 1216
PEX22 39 456
ACS1 263 2228
FLC2 140 1046
OAF1 165 1159
AIM2 43 391
GEM1 144 1131
YAL047W-A 30 160
SPC72 23 134
AIM1 17 122
YAL045C 28 160
YAL044W-A 41 273
GCV3 62 579
PTA1 102 827
YAL042C-A 43 560
ERV46 124 1246
CDC24 6 36
CLN3 47 329
CYC3 302 4378
CDC19 6 36
YAL037C-B 5 26
YAL037C-A 13 101
YAL037W 63 343
RBG1 105 1118
FUN12 39 185
YAL034C-B 46 574
MTW1 32 181
FUN19 103 870
POP5 2 1
PRP45 54 313
YAL031W-A 25 267
GIP4 124 983
SNC1 40 383
MYO4 222 1797
FRT2 74 524
SAW1 74 655
YAL026C-A 32 206
DRS2 98 501
MAK16 5 9
LTE1 130 708
PMT2 105 922
FUN26 106 881
CCR4 89 693
ATS1 90 1025
YAL019W-A 97 1529
FUN30 181 1310
LDS1 47 266
PSK1 208 1594
YAL016C-B 29 139
YAL016C-A 31 500
TPD3 25 149
NTG1 108 1084
SYN8 70 547
DEP1 105 517
CYS3 60 279
SWC3 166 1131
MDM10 81 440
SPO7 55 213
FUN14 61 777
ERP2 61 475
SSA1 195 2123
YAL004W 15 112
EFB1 6 9
VPS8 365 3879
TFC3 80 551
NUP60 136 1111
ERP1 90 1050
SWD1 83 532
RFA1 9 22
SEN34 23 90
BUD14 184 1410
ADE1 5 4
KIN3 113 705
CDC15 10 33
YAR019W-A 93 1168
PAU7 16 98
YAR023C 54 523
UIP3 64 454
YAR028W 56 636
YAR029W 10 43
YAR030C 23 128
PRM9 44 403
MST28 55 480
YAT1 595 6999
YAR035C-A 29 163
SWH1 221 1741
YAR047C 0 0
FLO1 76 418
YAR053W 6 14
YAR060C 0 0
YAR064W 28 143
YAR066W 0 0
YAR068W 2 1
YAR069C 0 0
YAR070C 3 2
PHO11 5 36
IMD1 1 0
YAR075W 0 0
YBL113C 31 160
YBL113W-A 3 4
YBL112C 0 0
YBL111C 1 0
YBL109W 60 683
PAU9 1 0
YBL108W 40 263
YBL107W-A 0 0
MIX23 44 305
SRO77 123 918
PKC1 8 28
SEA4 133 1043
RTG3 66 427
SFT2 62 269
ECM21 193 1580
YBL100W-C 29 148
YBL100C 8 29
ATP1 25 145
BNA4 74 549
BRN1 12 101
YBL096C 33 220
YBL095W 60 455
YBL094C 16 86
ROX3 34 372
RPL32 3 4
SCS22 41 223
MAP2 54 433
MRP21 26 293
AVT5 86 578
TEL1 234 2157
RPL23A 46 331
YBL086C 43 173
BOI1 120 730
CDC27 4 9
YBL083C 22 146
ALG3 63 505
YBL081W 28 147
PET112 54 386
NUP170 85 735
ATG8 8 25
YBL077W 34 255
ILS1 2 4
SSA3 173 1577
AAR2 61 513
YBL073W 54 1019
RPS8A 10 33
YBL071C-B 19 62
KTI11 8 40
YBL071C 17 85
YBL070C 17 87
AST1 52 312
YBL068W-A 3 8
PRS4 39 346
UBP13 60 340
SEF1 132 795
YBL065W 43 489
PRX1 46 252
KIP1 157 1374
YBL062W 11 48
SKT5 67 418
YEL1 72 574
CMC2 12 41
YBL059W 33 230
SHP1 77 651
PTH2 46 426
PTC3 60 405
YBL055C 74 788
TOD6 67 461
YBL053W 22 62
SAS3 115 650
PIN4 62 440
SEC17 0 0
MOH1 16 122
RRT1 16 27
EDE1 151 1027
PSY4 56 442
COR1 50 248
YBL044W 106 1530
ECM13 56 403
FUI1 119 905
PRE7 1 0
ERD2 11 32
YBL039W-B 8 21
URA7 63 441
YBL039C-A 4 26
MRPL16 51 341
APL3 127 1008
YBL036C 34 358
POL12 28 228
STU1 66 579
RIB1 4 20
HEK2 34 308
SHE1 56 442
PET9 45 318
YBL029C-A 33 154
YBL029W 114 1092
YBL028C 26 268
RPL19B 27 98
LSM2 5 19
RRN10 20 98
NCL1 106 727
MCM2 9 22
PIM1 144 982
HAP3 21 120
RFT1 13 50
APN2 111 763
POP8 18 129
PEP1 199 1741
FUS3 128 1580
ACH1 131 1297
RRN6 29 187
FMT1 360 6220
YBL012C 44 400
SCT1 128 927
YBL010C 58 473
ALK2 154 1220
YBL008W-A 58 394
HIR1 166 1207
SLA1 157 1202
LDB7 71 540
YBL006W-A 31 201
PDR3 234 2025
UTP20 18 73
HTA2 63 320
HTB2 78 766
ECM15 57 509
NTH2 274 2558
RER2 34 318
COQ1 146 1373
GPI18 18 88
RCR1 131 1507
UGA2 280 3690
DSF2 321 3892
FLR1 224 2350
HHF1 13 22
HHT1 49 271
IPP1 23 102
YBR012C 0 0
YBR013C 0 0
GRX7 37 203
MNN2 126 938
YBR016W 61 482
KAP104 62 356
GAL7 110 988
GAL10 277 2608
GAL1 174 1668
FUR4 117 701
POA1 60 551
CHS3 69 356
SCO2 83 611
OLA1 69 434
ETR1 57 331
YBR027C 48 429
YPK3 75 393
CDS1 10 41
RKM3 65 339
RPL4A 11 26
YBR032W 80 638
EDS1 197 1611
HMT1 52 524
PDX3 39 366
CSG2 64 607
SCO1 54 312
CHS2 1 0
ATP3 33 211
FIG1 21 111
FAT1 69 309
CST26 68 435
QDR3 106 486
TCM62 140 1036
GIP1 79 586
ZTA1 45 288
FMP23 36 276
RPS11B 14 56
REB1 12 51
REG2 69 574
YBR051W 25 126
RFS1 36 168
YBR053C 53 397
YRO2 71 607
PRP6 74 584
YBR056W 59 359
YBR056W-A 17 172
YBR056C-B 16 171
MUM2 39 315
UBP14 60 435
TSC3 5 50
AKL1 129 941
ORC2 17 76
TRM7 29 247
YBR062C 20 108
YBR063C 26 127
YBR064W 11 46
ECM2 50 356
NRG2 59 356
TIP1 27 61
BAP2 100 660
TAT1 119 1019
ALG14 5 8
YBR071W 77 499
HSP26 70 421
YBR072C-A 36 292
RDH54 94 666
PFF1 102 851
ECM8 96 777
YBR076C-A 53 648
SLM4 47 298
ECM33 61 429
RPG1 24 129
SEC18 9 36
SPT7 50 239
UBC4 22 196
TEC1 75 546
MIS1 88 563
RPL19A 32 215
AAC3 33 137
YBR085C-A 15 106
IST2 94 462
RFC5 4 3
POL30 1 0
YBR089W 0 0
NHP6B 72 360
YBR090C 139 972
TIM12 6 23
PHO3 47 328
PHO5 51 289
PBY1 96 596
RXT2 30 162
YBR096W 22 95
VPS15 50 336
MMS4 55 451
YBR099C 11 65
FES1 27 123
EXO84 26 120
SIF2 68 579
YBR103C-A 42 371
YMC2 63 367
VID24 96 731
PHO88 31 165
IML3 36 157
AIM3 112 763
CMD1 0 0
YBR109W-A 30 259
ALG1 0 0
YSA1 45 219
SUS1 20 102
CYC8 55 272
YBR113W 46 218
RAD16 135 1159
LYS2 149 1130
YBR116C 77 882
TKL2 147 1250
TEF2 8 40
MUD1 26 134
CBP6 13 39
GRS1 0 0
YBR121C-A 0 0
MRPL36 18 106
TFC1 33 182
YBR124W 40 392
PTC4 50 343
TPS1 43 217
YBR126W-A 39 310
YBR126W-B 27 258
VMA2 31 189
ATG14 47 358
OPY1 40 294
SHE3 32 142
CCZ1 24 85
YBR131C-A 0 0
AGP2 61 479
HSL7 49 234
YBR134W 38 404
CKS1 6 7
MEC1 67 349
YBR137W 31 213
YBR138C 38 233
YBR139W 62 374
IRA1 199 1384
BMT2 71 612
YBR141W-A 9 20
MAK5 12 62
SUP45 1 0
YBR144C 100 1527
ADH5 66 460
MRPS9 40 345
RTC2 44 389
YSW1 107 778
ARA1 41 243
TBS1 120 768
APD1 50 327
SPP381 33 174
RIB7 34 182
RPB5 1 0
CNS1 9 18
SLI15 9 34
ICS2 37 217
AMN1 51 286
IFA38 8 12
CDC28 1 0
CSH1 20 60
TOS1 61 342
YSY6 7 14
EXO5 81 375
ARL1 10 26
UBS1 21 84
TYR1 63 401
POP7 1 0
PEX32 53 303
SSE2 77 427
NPL4 45 401
SEC66 21 141
SMY2 62 423
UMP1 18 51
YBR174C 17 179
SWD3 26 125
ECM31 42 274
EHT1 41 278
YBR178W 68 639
FZO1 55 303
DTR1 68 322
RPS6B 14 35
SMP1 39 199
YBR182C-A 9 39
YPC1 40 200
YBR184W 53 373
MBA1 18 74
PCH2 107 880
GDT1 40 194
NTC20 25 113
RPS9B 8 29
YBR190W 25 157
RPL21A 8 19
YBR191W-A 3 2
RIM2 32 192
MED8 18 65
AIM4 16 48
MSI1 40 289
PGI1 1 0
YBR196C-A 47 344
YBR196C-B 16 120
YBR197C 87 1039
TAF5 8 29
KTR4 46 204
BEM1 16 129
YBR200W-A 9 35
DER1 28 148
YBR201C-A 13 51
MCM7 18 142
COS111 96 638
LDH1 54 387
KTR3 61 375
YBR206W 32 314
FTH1 84 626
DUR1,2 181 1345
YBR209W 68 722
ERV15 12 98
AME1 3 28
NGR1 76 636
MET8 63 563
SDS24 108 889
HPC2 41 192
YBP1 51 284
ATG12 9 40
PYC2 128 798
YBR219C 104 749
YBR220C 72 623
PDB1 32 239
YBR221W-A 37 378
PCS60 80 528
TDP1 90 735
YBR223W-A 16 182
YBR224W 59 415
YBR225W 60 271
YBR226C 18 94
MCX1 36 196
SLX1 48 559
ROT2 107 693
OM14 36 125
YBR230W-A 26 174
SWC5 77 755
YBR232C 27 127
PBP2 76 384
DAD3 2 1
ARC40 1 0
VHC1 102 700
ABD1 17 92
PRP5 4 5
YBR238C 63 428
ERT1 68 487
THI2 63 518
YBR241C 134 1001
YBR242W 31 323
ALG7 1 0
GPX2 17 92
ISW1 145 1135
RRT2 39 325
ENP1 4 6
HIS7 66 414
ARO4 68 431
SPO23 83 672
MRPS5 32 164
DUT1 5 8
SRB6 3 11
TRS20 0 0
MTC4 55 327
YBR255C-A 20 74
RIB5 27 129
POP4 3 2
SHG1 20 92
YBR259W 76 404
RGD1 76 534
TAE1 28 230
MIC12 13 87
SHM1 59 284
YPT10 23 187
TSC10 13 60
REI1 26 129
SLM6 5 10
MRPL37 9 50
SDH8 11 42
BIT2 67 339
EFM2 34 362
HSM3 40 308
UBX7 66 444
CHK1 38 251
RIF1 133 882
PPS1 79 565
YBR277C 38 223
DPB3 35 207
PAF1 27 211
SAF1 80 729
DUG2 68 441
MRPL27 23 162
SSH1 31 161
YBR284W 99 632
YBR285W 5 11
APE3 94 678
YBR287W 62 400
APM3 42 326
SNF5 69 398
BSD2 25 131
CTP1 108 919
YBR292C 47 227
VBA2 74 681
SUL1 102 803
PCA1 145 1038
PHO89 122 956
YBR296C-A 15 70
MAL33 60 313
MAL31 65 537
YBR298C-A 24 317
MAL32 22 73
YBR300C 22 55
PAU24 11 29
COS2 0 0
YCL076W 5 11
GEX1 12 46
VBA3 8 9
YCL068C 10 47
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 0 0
CHA1 17 116
VAC17 31 156
MRC1 67 320
KRR1 3 4
FYV5 31 299
ADF1 14 73
MIC10 26 207
PRD1 83 608
PEX34 16 62
KAR4 37 206
RDT1 2 2
SPB1 15 70
PBN1 39 204
LRE1 95 729
APA1 53 318
YCL049C 65 388
YCL048W-A 11 40
SPS22 85 739
POF1 35 276
EMC1 73 459
YCL046W 18 53
MGR1 98 859
PDI1 19 129
YCL041C 53 295
YCL042W 39 580
GLK1 179 2121
GID7 187 1724
ATG22 106 589
SRO9 68 320
GFD2 188 1994
GRX1 14 65
LSB5 88 982
MXR2 57 293
STE50 69 720
RRP7 7 8
HIS4 308 2275
BIK1 262 3017
RNQ1 63 617
FUS1 114 995
HBN1 58 258
FRM2 59 522
AGP1 207 1894
YCL023C 67 620
KCC4 232 1852
YCL022C 52 428
YCL021W-A 53 440
LEU2 131 1006
NFS1 33 176
DCC1 72 588
BUD3 393 2886
YCL012C 52 215
GBP2 158 1119
SGF29 113 1205
ILV6 188 1797
STP22 197 2017
YCL007C 23 128
VMA9 18 36
LDB16 86 653
PGS1 152 1302
YCL002C 115 851
RER1 72 267
YCL001W-A 28 80
YCL001W-B 23 144
YCR001W 34 228
CDC10 17 99
MRPL32 48 548
YCP4 45 282
CIT2 180 1600
YCR006C 341 6429
YCR007C 89 777
SAT4 100 836
RVS161 57 285
ADY2 81 850
ADP1 239 2064
PGK1 12 59
YCR013C 12 87
POL4 144 1063
YCR015C 78 561
YCR016W 38 283
CWH43 176 1234
SRD1 19 93
YCR018C-A 19 311
MAK32 116 1126
PET18 55 475
MAK31 12 40
HTL1 8 14
HSP30 93 1042
YCR022C 87 1143
YCR023C 162 1218
SLM5 85 614
YCR024C-B 13 70
PMP1 11 46
YCR025C 108 901
NPP1 168 1210
RHB1 26 102
FEN2 7 87
RIM1 20 71
SYP1 128 1024
RPS14A 28 177
BPH1 228 1582
SNT1 149 1270
ELO2 55 242
RRP43 2 1
RBK1 76 557
PHO87 113 800
BUD5 47 154
YCR038W-A 0 0
MATALPHA2 0 0
MATALPHA1 0 0
YCR041W 11 42
TAF2 47 245
YCR043C 17 181
PER1 25 88
RRT12 102 716
YCR045W-A 39 285
IMG1 54 545
BUD23 16 66
YCR047W-A 4 13
YCR049C 29 323
ARE1 104 1125
YCR050C 16 80
YCR051W 44 462
RSC6 28 185
THR4 22 64
CTR86 48 272
PWP2 13 44
YIH1 59 582
TAH1 16 132
YCR061W 327 3559
YCR064C 60 844
BUD31 30 152
HCM1 106 756
RAD18 31 189
SED4 150 1072
ATG15 130 1052
CPR4 51 391
IMG2 32 247
RSA4 1 0
SSK22 155 1440
SOL2 57 401
ERS1 31 231
YCR075W-A 9 21
FUB1 33 262
PAT1 49 209
PTC6 50 442
SRB8 168 1659
YCR081C-A 14 231
AHC2 18 97
TRX3 22 192
TUP1 31 112
YCR085W 28 57
CSM1 22 122
YCR087W 20 88
YCR087C-A 15 59
ABP1 104 784
FIG2 95 456
YCR090C 30 177
KIN82 82 764
MSH3 122 620
CDC39 112 717
CDC50 25 115
OCA4 31 151
YCR095W-A 12 35
HMRA2 0 0
HMRA1 4 7
YCR097W-A 1 0
GIT1 82 604
YCR099C 14 30
YCR100C 36 279
YCR101C 24 149
YCR102C 47 352
YCR102W-A 5 12
PAU3 14 82
ADH7 102 885
RDS1 62 501
AAD3 63 394
YCR108C 9 90
COS7 4 7
YDL247W-A 0 0
MPH2 0 0
SOR2 0 0
HXT15 9 80
THI13 22 125
AAD4 47 454
YDL242W 30 306
YDL241W 3 28
YDL240C-A 51 512
LRG1 63 372
ADY3 48 266
GUD1 58 498
AIM6 35 211
PHO13 30 132
YPD1 3 3
GYP7 68 369
MFG1 43 283
OST4 0 0
BRE4 109 731
PTP1 70 422
SSB1 38 226
YDL228C 16 107
HO 170 1259
GCS1 28 130
SHS1 45 249
WHI4 81 650
HBT1 207 1549
FMP45 74 513
YDL221W 107 1161
CDC13 101 1012
DTD1 5 9
YDL218W 58 448
TIM22 9 16
RRI1 37 167
GDH2 151 1310
PRR2 107 839
NOP6 31 218
SHR3 4 9
YDL211C 76 428
UGA4 102 722
CWC2 4 6
NHP2 5 7
GLE1 11 144
YDL206W 70 532
HEM3 9 60
RTN2 50 568
ACK1 82 415
MRPL11 20 142
TRM8 30 233
MGT1 25 173
YDL199C 76 639
GGC1 16 44
ASF2 119 825
YDL196W 73 898
SEC31 13 65
SNF3 62 305
NUS1 7 17
ARF1 15 54
RPL35A 6 8
UFD2 75 624
RBS1 42 281
PPH22 38 333
YDL187C 21 79
YDL186W 23 121
YDL185C-A 10 77
VMA1 33 130
RPL41A 2 4
YDL183C 53 449
LYS20 49 495
INH1 24 66
YDL180W 41 208
PCL9 35 168
DLD2 70 445
YDL177C 20 109
YDL176W 61 430
AIR2 44 187
DLD1 91 654
PAR32 34 255
YDL172C 18 102
GLT1 251 1985
UGA3 65 542
UGX2 45 335
SFA1 59 529
NRP1 37 311
FAP7 7 24
CDC36 10 33
CDC9 15 80
YDL163W 13 72
YDL162C 53 647
ENT1 34 215
MHF2 10 51
DHH1 28 118
YDL159W-A 28 255
STE7 59 330
YDL159C-B 4 3
YDL158C 16 76
YDL157C 14 51
CMR1 70 609
CLB3 40 280
MSH5 104 592
SAS10 7 13
YDL152W 24 157
BUD30 3 5
RPC53 3 5
ATG9 44 190
NOP14 28 228
RPN5 6 20
LDB17 36 197
COP1 15 39
YDL144C 63 530
CCT4 1 0
CRD1 54 524
BPL1 63 324
RPO21 15 31
SCM3 1 0
RGT2 95 639
ARF2 34 169
RPL35B 15 89
RDI1 29 142
PPH21 40 395
RPL41B 6 24
SRF1 49 345
CDC53 17 47
LYS21 77 511
STF1 20 77
RPP1B 18 75
YDL129W 32 224
VCX1 59 473
PCL2 75 544
CDC48 10 31
HNT1 36 245
YDL124W 44 417
SNA4 32 232
UBP1 67 436
YDL121C 21 127
YFH1 16 46
YDL119C 29 179
YDL118W 7 34
CYK3 58 380
NUP84 23 69
IWR1 50 432
YDL114W-A 2 2
YDL114W 46 247
ATG20 44 210
TRM3 116 714
RRP42 1 0
TMA17 22 184
YDL109C 94 684
KIN28 6 19
MSS2 51 406
PHO2 28 172
NSE4 6 12
QRI7 39 281
QRI1 5 6
POL3 14 150
DUN1 53 286
GET3 22 153
BUG1 31 191
SNU23 8 26
RPN6 4 5
OPI6 15 108
PMT1 60 397
YDL094C 41 375
PMT5 85 390
SRP14 14 126
UBX3 46 370
RAM1 15 60
NUR1 48 296
ASM4 44 270
LUC7 14 48
YDL086W 51 372
YDL086C-A 33 204
YDL085C-A 14 42
NDE2 58 400
SUB2 0 0
RPS16B 23 89
RPL13A 21 120
RPP1A 15 72
THI3 49 225
MRK1 101 614
MDH3 71 340
VAM6 33 165
RXT3 82 400
RPL31A 7 9
BRE1 11 25
YDL073W 103 776
YET3 33 192
YDL071C 77 568
BDF2 38 189
CBS1 38 242
YDL068W 20 101
COX9 8 55
IDP1 50 388
PEX19 55 275
UBC9 5 4
SYO1 46 199
YDL062W 10 23
RPS29B 5 6
TSR1 5 19
RAD59 33 146
USO1 52 349
YDL057W 60 524
MBP1 68 504
PSA1 5 14
MCH1 110 953
PBP4 36 144
SLC1 54 392
LHP1 71 363
YDL050C 30 137
KNH1 105 971
STP4 163 1328
SIT4 10 41
NPC2 37 184
MRP10 14 66
FAD1 27 153
MTF2 47 303
PRP11 2 1
SIR2 75 527
YDL041W 27 155
NAT1 61 391
PRM7 62 423
BSC1 36 170
PUS9 51 346
GPR1 71 412
YDL034W 13 68
SLM3 114 1183
YDL032W 21 85
DBP10 23 40
PRP9 12 30
ARP2 1 0
MPS1 23 176
YDL027C 45 277
YDL026W 20 69
RTK1 87 504
YDL025W-A 5 4
DIA3 76 569
YDL022C-A 35 351
YDL023C 35 209
GPD1 104 705
GPM2 80 723
RPN4 91 816
OSH2 226 2017
ERP3 38 233
CDC7 13 66
YDL016C 11 50
TSC13 0 0
NOP1 1 0
SLX5 48 213
YDL012C 47 385
YDL011C 25 154
GRX6 37 190
YDL009C 11 18
APC11 10 49
YDL007C-A 16 72
RPT2 0 0
PTC1 28 97
MED2 50 221
ATP16 19 107
MCD1 10 51
NHP10 45 380
RMD1 121 1107
NTH1 239 2379
YRB1 3 2
RCR2 76 651
YDR003W-A 16 52
RAD57 92 671
MAF1 74 429
SOK1 112 668
TRP1 87 754
YDR008C 94 858
GAL3 144 933
YDR010C 135 2301
SNQ2 300 2527
RPL4B 34 254
PSF1 2 1
RAD61 68 325
HED1 26 180
YDR015C 15 76
DAD1 3 3
KCS1 160 1045
YDR018C 128 1097
GCV1 88 613
DAS2 97 1041
FAL1 17 103
ATG31 25 228
SES1 2 1
FYV1 88 548
RPS11A 11 25
NSI1 68 568
