gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 24 574
YAL068W-A 11 156
PAU8 5 57
YAL067W-A 11 242
SEO1 61 1470
YAL066W 31 787
YAL065C 16 818
YAL064W-B 9 40
TDA8 7 118
YAL064W 17 299
YAL063C-A 15 345
FLO9 51 1469
GDH3 118 4264
BDH2 92 2762
BDH1 50 1646
YAL059C-A 15 387
ECM1 20 608
CNE1 53 2406
YAL056C-A 12 694
GPB2 77 1737
PEX22 30 742
ACS1 69 1421
FLC2 64 1780
OAF1 78 2687
AIM2 30 1016
GEM1 40 435
YAL047W-A 24 232
SPC72 8 123
AIM1 7 25
YAL045C 8 169
YAL044W-A 8 57
GCV3 6 69
PTA1 13 108
YAL042C-A 24 399
ERV46 84 2782
CDC24 2 2
CLN3 24 243
CYC3 80 1423
CDC19 5 15
YAL037C-B 4 12
YAL037C-A 10 160
YAL037W 49 1371
RBG1 62 2642
FUN12 8 87
YAL034C-B 41 1148
MTW1 17 94
FUN19 61 1464
POP5 1 0
PRP45 45 1045
YAL031W-A 17 309
GIP4 80 2155
SNC1 31 1234
MYO4 179 4493
FRT2 65 1786
SAW1 56 1327
YAL026C-A 32 367
DRS2 33 485
MAK16 2 2
LTE1 100 2076
PMT2 31 664
FUN26 97 3008
CCR4 30 687
ATS1 52 1231
YAL019W-A 66 2547
FUN30 66 1669
LDS1 61 1356
PSK1 157 4226
YAL016C-B 18 206
YAL016C-A 17 589
TPD3 0 0
NTG1 76 2217
SYN8 45 1700
DEP1 72 622
CYS3 3 5
SWC3 84 1947
MDM10 4 13
SPO7 5 9
FUN14 56 2695
ERP2 57 2055
SSA1 99 2124
YAL004W 7 69
EFB1 0 0
VPS8 234 11243
TFC3 13 200
NUP60 180 5101
ERP1 113 4105
SWD1 63 1463
RFA1 3 9
SEN34 3 36
BUD14 123 3339
ADE1 0 0
KIN3 54 692
CDC15 6 47
YAR019W-A 56 2298
PAU7 18 206
YAR023C 58 2333
UIP3 43 1695
YAR028W 30 1802
YAR029W 7 30
YAR030C 12 182
PRM9 41 1286
MST28 40 1325
YAT1 377 11745
YAR035C-A 17 179
SWH1 123 3898
YAR047C 0 0
FLO1 51 2270
YAR053W 3 23
YAR060C 0 0
YAR064W 16 398
YAR066W 0 0
YAR068W 1 0
YAR069C 0 0
YAR070C 0 0
PHO11 2 3
IMD1 2 1
YAR075W 0 0
YBL113C 16 185
YBL113W-A 2 2
YBL112C 0 0
YBL111C 1 0
YBL109W 30 1098
PAU9 0 0
YBL108W 17 434
YBL107W-A 0 0
MIX23 21 397
SRO77 76 1718
PKC1 4 3
SEA4 80 3194
RTG3 36 630
SFT2 23 131
ECM21 83 3908
YBL100W-C 13 193
YBL100C 0 0
ATP1 1 0
BNA4 29 1104
BRN1 5 430
YBL096C 15 521
YBL095W 17 744
YBL094C 4 20
ROX3 7 118
RPL32 0 0
SCS22 18 327
MAP2 36 951
MRP21 0 0
AVT5 62 1652
TEL1 86 1938
RPL23A 20 534
YBL086C 25 277
BOI1 84 1665
CDC27 10 94
YBL083C 11 110
ALG3 19 344
YBL081W 23 363
PET112 8 46
NUP170 37 830
ATG8 0 0
YBL077W 17 639
ILS1 1 0
SSA3 90 3064
AAR2 30 1353
YBL073W 23 1777
RPS8A 1 0
YBL071C-B 11 85
KTI11 2 2
YBL071C 8 83
YBL070C 5 44
AST1 17 412
YBL068W-A 4 146
PRS4 17 171
UBP13 55 1266
SEF1 60 1675
YBL065W 23 927
PRX1 21 516
KIP1 77 3275
YBL062W 11 86
SKT5 43 510
YEL1 61 1165
CMC2 3 5
YBL059W 26 696
SHP1 19 573
PTH2 33 970
PTC3 28 371
YBL055C 39 1206
TOD6 65 1674
YBL053W 17 284
SAS3 93 2130
PIN4 23 388
SEC17 0 0
MOH1 3 4
RRT1 12 218
EDE1 78 1319
PSY4 40 1275
COR1 17 258
YBL044W 61 5129
ECM13 24 681
FUI1 84 2013
PRE7 1 0
ERD2 6 12
YBL039W-B 9 114
URA7 47 2135
YBL039C-A 4 75
MRPL16 6 45
APL3 70 2178
YBL036C 28 688
POL12 6 24
STU1 10 78
RIB1 3 17
HEK2 19 170
SHE1 30 533
PET9 5 15
YBL029C-A 22 228
YBL029W 100 3309
YBL028C 22 1485
RPL19B 9 89
LSM2 0 0
RRN10 0 0
NCL1 54 1498
MCM2 3 43
PIM1 28 217
HAP3 11 105
RFT1 3 48
APN2 103 3671
POP8 13 182
PEP1 131 3284
FUS3 126 4285
ACH1 94 3894
RRN6 18 227
FMT1 136 5688
YBL012C 42 1075
SCT1 102 3936
YBL010C 38 1290
ALK2 133 4565
YBL008W-A 33 235
HIR1 126 3359
SLA1 57 727
LDB7 48 674
YBL006W-A 20 249
PDR3 215 7463
UTP20 6 86
HTA2 54 1407
HTB2 87 4834
ECM15 58 3175
NTH2 290 11595
RER2 25 1279
COQ1 62 1688
GPI18 0 0
RCR1 129 7284
UGA2 206 9771
DSF2 303 13761
FLR1 160 6790
HHF1 9 89
HHT1 34 1523
IPP1 1 0
YBR012C 0 0
YBR013C 1 0
GRX7 41 786
MNN2 75 2002
YBR016W 56 1310
KAP104 8 81
GAL7 1 0
GAL10 54 915
GAL1 49 1605
FUR4 97 2179
POA1 43 1253
CHS3 66 739
SCO2 63 1545
OLA1 32 380
ETR1 3 2
YBR027C 39 519
YPK3 67 1157
CDS1 8 40
RKM3 43 1032
RPL4A 5 6
YBR032W 39 840
EDS1 132 4487
HMT1 28 981
PDX3 7 249
CSG2 14 127
SCO1 8 259
CHS2 7 74
ATP3 2 10
FIG1 17 847
FAT1 23 612
CST26 36 762
QDR3 59 902
TCM62 43 731
GIP1 54 1192
ZTA1 27 737
FMP23 29 1251
RPS11B 3 8
REB1 4 3
REG2 50 1254
YBR051W 15 92
RFS1 29 383
YBR053C 40 1371
YRO2 34 782
PRP6 22 247
YBR056W 12 190
YBR056W-A 11 50
YBR056C-B 11 50
MUM2 22 745
UBP14 10 65
TSC3 1 0
AKL1 69 1616
ORC2 7 32
TRM7 15 243
YBR062C 18 288
YBR063C 20 262
YBR064W 7 54
ECM2 38 502
NRG2 35 609
TIP1 15 84
BAP2 32 253
TAT1 46 1066
ALG14 1 0
YBR071W 34 902
HSP26 19 197
YBR072C-A 21 323
RDH54 43 1054
PFF1 71 2469
ECM8 46 1117
YBR076C-A 20 1364
SLM4 24 269
ECM33 6 20
RPG1 19 186
SEC18 3 11
SPT7 13 112
UBC4 5 93
TEC1 44 510
MIS1 42 1034
RPL19A 14 352
AAC3 17 217
YBR085C-A 10 73
IST2 32 387
RFC5 0 0
POL30 0 0
YBR089W 0 0
NHP6B 32 520
YBR090C 56 516
TIM12 0 0
PHO3 17 361
PHO5 22 608
PBY1 47 823
RXT2 17 221
YBR096W 10 34
VPS15 16 118
MMS4 39 922
YBR099C 11 315
FES1 8 18
EXO84 18 382
SIF2 14 438
YBR103C-A 21 328
YMC2 38 764
VID24 16 175
PHO88 7 87
IML3 8 56
AIM3 41 802
CMD1 2 2
YBR109W-A 11 246
ALG1 1 0
YSA1 11 84
SUS1 4 9
CYC8 15 140
YBR113W 7 33
RAD16 43 1192
LYS2 22 204
YBR116C 31 664
TKL2 54 2202
TEF2 4 5
MUD1 11 451
CBP6 6 22
GRS1 2 7
YBR121C-A 0 0
MRPL36 6 29
TFC1 1 0
YBR124W 22 250
PTC4 27 254
TPS1 2 9
YBR126W-A 27 733
YBR126W-B 22 464
VMA2 5 52
ATG14 12 103
OPY1 15 194
SHE3 9 145
CCZ1 3 2
YBR131C-A 0 0
AGP2 31 904
HSL7 6 94
YBR134W 23 783
CKS1 1 0
MEC1 1 0
YBR137W 14 165
YBR138C 32 468
YBR139W 31 849
IRA1 16 191
BMT2 19 583
YBR141W-A 1 0
MAK5 2 17
SUP45 0 0
YBR144C 36 2064
ADH5 15 363
MRPS9 2 2
RTC2 23 833
YSW1 36 802
ARA1 19 304
TBS1 40 1030
APD1 17 532
SPP381 20 354
RIB7 0 0
RPB5 0 0
CNS1 3 3
SLI15 4 37
ICS2 14 139
AMN1 33 1259
IFA38 1 0
CDC28 2 2
CSH1 20 55
TOS1 45 1149
YSY6 1 0
EXO5 11 151
ARL1 3 20
UBS1 6 46
TYR1 13 233
POP7 0 0
PEX32 17 221
SSE2 23 688
NPL4 8 241
SEC66 2 5
SMY2 29 487
UMP1 4 18
YBR174C 4 16
SWD3 5 10
ECM31 11 158
EHT1 31 488
YBR178W 29 750
FZO1 2 17
DTR1 28 442
RPS6B 0 0
SMP1 33 471
YBR182C-A 3 8
YPC1 24 552
YBR184W 28 722
MBA1 8 143
PCH2 67 1704
GDT1 24 383
NTC20 8 66
RPS9B 1 0
YBR190W 4 3
RPL21A 1 0
YBR191W-A 0 0
RIM2 3 67
MED8 2 2
AIM4 11 96
MSI1 19 349
PGI1 0 0
YBR196C-A 30 292
YBR196C-B 9 201
YBR197C 67 2555
TAF5 1 0
KTR4 13 151
BEM1 7 93
YBR200W-A 4 3
DER1 8 67
YBR201C-A 6 47
MCM7 15 341
COS111 34 1040
LDH1 18 413
KTR3 33 1181
YBR206W 12 391
FTH1 29 481
DUR1,2 103 2382
YBR209W 24 991
ERV15 5 287
AME1 1 0
NGR1 23 984
MET8 56 2988
SDS24 29 1184
HPC2 19 703
YBP1 24 316
ATG12 2 1
PYC2 38 1150
YBR219C 44 570
YBR220C 39 1224
PDB1 16 261
YBR221W-A 16 305
PCS60 88 2718
TDP1 71 1766
YBR223W-A 6 113
YBR224W 20 222
YBR225W 47 1115
YBR226C 15 71
MCX1 21 110
SLX1 18 498
ROT2 48 841
OM14 14 47
YBR230W-A 14 370
SWC5 11 89
YBR232C 11 43
PBP2 32 549
DAD3 0 0
ARC40 0 0
VHC1 45 1245
ABD1 4 69
PRP5 0 0
YBR238C 23 802
ERT1 62 1589
THI2 51 1559
YBR241C 63 1745
YBR242W 15 509
ALG7 2 1
GPX2 17 99
ISW1 41 975
RRT2 11 154
ENP1 0 0
HIS7 22 383
ARO4 27 732
SPO23 23 521
MRPS5 4 29
DUT1 3 13
SRB6 3 8
TRS20 0 0
MTC4 26 760
YBR255C-A 9 315
RIB5 0 0
POP4 0 0
SHG1 4 6
YBR259W 39 775
RGD1 27 894
TAE1 14 249
MIC12 4 82
SHM1 16 183
YPT10 12 125
TSC10 2 2
REI1 9 60
SLM6 0 0
MRPL37 1 0
SDH8 10 565
BIT2 40 934
EFM2 20 377
HSM3 10 73
UBX7 22 337
CHK1 21 342
RIF1 69 1957
PPS1 38 1021
YBR277C 14 234
DPB3 10 153
PAF1 3 22
SAF1 29 438
DUG2 35 906
MRPL27 4 6
SSH1 12 252
YBR284W 58 1709
YBR285W 2 1
APE3 37 1337
YBR287W 38 992
APM3 10 120
SNF5 24 389
BSD2 7 51
CTP1 55 1860
YBR292C 26 123
VBA2 23 526
SUL1 42 452
PCA1 74 2252
PHO89 36 1088
YBR296C-A 11 236
MAL33 65 962
MAL31 33 1117
YBR298C-A 22 449
MAL32 7 79
YBR300C 11 72
PAU24 1 0
COS2 0 0
YCL076W 2 134
GEX1 2 1
VBA3 3 2
YCL068C 5 53
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 1 0
CHA1 11 245
VAC17 18 170
MRC1 42 511
KRR1 2 1
FYV5 18 372
ADF1 7 45
MIC10 8 84
PRD1 47 1716
PEX34 6 81
KAR4 15 420
RDT1 2 23
SPB1 2 2
PBN1 3 17
LRE1 46 1177
APA1 14 605
YCL049C 47 2410
YCL048W-A 6 23
SPS22 35 1293
POF1 17 266
EMC1 29 829
