gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 16 131
YAL068W-A 13 109
PAU8 2 5
YAL067W-A 10 44
SEO1 53 571
YAL066W 11 70
YAL065C 7 21
YAL064W-B 7 25
TDA8 7 34
YAL064W 6 23
YAL063C-A 10 74
FLO9 47 560
GDH3 157 2753
BDH2 104 1245
BDH1 66 630
YAL059C-A 24 172
ECM1 38 379
CNE1 69 1297
YAL056C-A 18 263
GPB2 144 1952
PEX22 25 423
ACS1 118 1658
FLC2 76 1026
OAF1 95 1044
AIM2 29 503
GEM1 105 1280
YAL047W-A 31 323
SPC72 9 52
AIM1 13 127
YAL045C 14 123
YAL044W-A 15 164
GCV3 45 791
PTA1 9 94
YAL042C-A 31 647
ERV46 111 1870
CDC24 17 208
CLN3 32 158
CYC3 250 4556
CDC19 1 0
YAL037C-B 2 1
YAL037C-A 20 384
YAL037W 54 392
RBG1 63 865
FUN12 9 39
YAL034C-B 34 1019
MTW1 21 201
FUN19 72 702
POP5 5 10
PRP45 70 1073
YAL031W-A 23 174
GIP4 93 1092
SNC1 27 472
MYO4 202 2543
FRT2 95 913
SAW1 74 799
YAL026C-A 47 320
DRS2 92 730
MAK16 0 0
LTE1 24 119
PMT2 97 1171
FUN26 115 1354
CCR4 80 712
ATS1 114 1523
YAL019W-A 86 1922
FUN30 119 1630
LDS1 74 856
PSK1 174 2334
YAL016C-B 23 100
YAL016C-A 23 456
TPD3 3 19
NTG1 102 1584
SYN8 62 778
DEP1 88 614
CYS3 22 84
SWC3 129 905
MDM10 6 12
SPO7 72 374
FUN14 85 1440
ERP2 91 1569
SSA1 113 1529
YAL004W 18 183
EFB1 1 0
VPS8 517 10251
TFC3 16 178
NUP60 385 8223
ERP1 207 4381
SWD1 129 1619
RFA1 11 103
SEN34 5 38
BUD14 202 3027
ADE1 2 2
KIN3 129 1565
CDC15 9 25
YAR019W-A 87 1591
PAU7 18 201
YAR023C 76 1561
UIP3 57 759
YAR028W 30 625
YAR029W 10 45
YAR030C 15 39
PRM9 41 616
MST28 42 448
YAT1 452 6990
YAR035C-A 25 142
SWH1 152 1693
YAR047C 11 84
FLO1 93 1198
YAR053W 10 21
YAR060C 0 0
YAR064W 22 174
YAR066W 1 0
YAR068W 4 25
YAR069C 0 0
YAR070C 4 15
PHO11 4 18
